playerID,WinPercent,H_Batting,HR_Batting,RBI_Batting,R_Batting,Doubles_Batting,Triples_Batting,BB_Batting,AB_Batting,PO_Fielding,A_Fielding,E_Fielding,DP_Fielding,SB_Fielding,CS_Fielding,ERA_Pitching,H_Pitching,SV_Pitching,BAOpp_Pitching,H_Battingp,HR_Battingp,RBI_Battingp,R_Battingp,Doubles_Battingp,Triples_Battingp,BB_Battingp,AB_Battingp,PO_Fieldingp,A_Fieldingp,E_Fieldingp,DP_Fieldingp,SB_Fieldingp,CS_Fieldingp,ERA_Pitchingp,H_Pitchingp,SV_Pitchingp,BAOpp_Pitchingp,GP_AllStar,careerAwards,WSWins,class
altroni01,0.5436,97,2,27,52,9,1,29,550,181,610,31,23,0,0,75.28,1455,7,3.33,1,0,0,0,0,0,1,4,181,610,31,23,0,0,75.28,1455,7,3.33,0,0,3,1
ansonca01,0.5792,3435,97,2075,1999,582,142,984,10281,22572,1612,976,1283,38,24,18,4,1,0,16,0,1,11,2,1,6,47,22572,1612,976,1283,38,24,18,4,1,0,0,0,0,1
baldwla01,0.5336,114,0,55,68,16,7,40,494,64,225,23,10,0,0,27.56,921,1,0,4,0,1,1,1,0,2,17,64,225,23,10,0,0,27.56,921,1,0,0,0,1,0
abbeybe01,0.4638,38,0,17,21,3,3,21,225,17,134,22,4,0,0,28.07,686,1,0,0,0,0,0,0,0,0,0,17,134,22,4,0,0,28.07,686,1,0,0,0,0,0
abbeych01,0.3788,493,19,280,307,67,46,167,1756,920,92,100,19,0,0,4.5,6,0,0,0,0,0,0,0,0,0,0,920,92,100,19,0,0,4.5,6,0,0,0,0,0,0
abbotda01,0.5152,1,0,1,0,0,1,0,7,3,4,0,0,0,0,6.23,19,1,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,6.23,19,1,0,0,0,0,0
allenmy01,0.3866,157,4,88,89,28,14,45,606,306,52,38,8,0,0,4.56,34,0,0,0,0,0,0,0,0,0,0,306,52,38,8,0,0,4.56,34,0,0,0,0,0,0
allisdo01,0.5319,382,2,139,236,44,10,24,1407,1328,269,237,24,0,0,1.8,11,0,0,0,0,0,0,0,0,0,0,1328,269,237,24,0,0,1.8,11,0,0,0,0,0,1
amoledo01,0.5000,5,0,5,5,0,0,2,48,6,35,6,0,0,0,10.41,150,0,0,0,0,0,0,0,0,0,0,6,35,6,0,0,0,10.41,150,0,0,0,0,0,0
anderda01,0.4162,6,0,0,6,1,0,1,62,3,52,1,0,0,0,19.55,177,0,0,0,0,0,0,0,0,0,0,3,52,1,0,0,0,19.55,177,0,0,0,0,0,0
anderva01,0.3905,34,0,18,25,3,3,10,114,11,54,12,4,0,0,30.46,339,0,0,0,0,0,0,0,0,0,0,11,54,12,4,0,0,30.46,339,0,0,0,0,0,0
andrufr01,0.6404,12,0,2,9,3,0,1,41,5,3,2,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,2,11,0,0,0,0,0,0
arundha01,0.5342,11,0,1,8,0,0,6,59,5,58,5,0,0,0,13.41,171,0,0,0,0,0,0,0,0,0,0,5,58,5,0,0,0,13.41,171,0,0,0,0,1,0
atkinal01,0.5026,64,1,14,55,7,2,36,387,55,174,43,3,0,0,19.17,943,0,0,0,0,0,0,0,0,0,0,55,174,43,3,0,0,19.17,943,0,0,0,0,0,0
aydelja01,0.3802,5,0,0,1,1,0,3,50,2,19,6,0,0,0,8.92,150,0,0,0,0,0,0,0,0,0,0,2,19,6,0,0,0,8.92,150,0,0,0,0,0,0
baileha01,0.5552,10,0,3,5,2,1,2,43,3,25,2,0,0,0,8.9,107,0,0,0,0,0,0,0,0,0,0,3,25,2,0,0,0,8.9,107,0,0,0,0,0,0
baileki01,0.5077,2,0,1,2,1,0,0,4,1,2,1,0,0,0,5.63,13,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,5.63,13,0,0,0,0,0,0
bakelje01,0.4164,111,2,33,70,12,4,83,727,104,376,74,16,0,0,32.43,1909,0,0,0,0,0,0,0,0,0,0,104,376,74,16,0,0,32.43,1909,0,0,0,0,0,0
bakerbo01,0.4706,1,0,1,0,0,0,0,7,0,2,0,1,0,0,16.13,29,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,16.13,29,0,0,0,0,0,0
bakerki01,0.3968,35,0,10,19,1,2,22,166,34,100,15,3,0,0,23.93,483,0,0,0,0,0,0,0,0,0,0,34,100,15,3,0,0,23.93,483,0,0,0,0,0,0
bakerno01,0.4057,18,0,6,16,2,0,2,106,8,39,14,1,0,0,10.1,248,0,0,0,0,0,0,0,0,0,0,8,39,14,1,0,0,10.1,248,0,0,0,0,0,0
baldwki01,0.5064,371,7,178,186,56,27,36,1677,1956,688,327,48,91,57,9,5,0,0,0,0,0,0,0,0,0,0,1956,688,327,48,91,57,9,5,0,0,0,0,0,0
baldwma01,0.5250,188,10,106,109,21,18,82,1155,183,547,80,11,0,0,35.02,2695,5,0,0,0,0,0,0,0,0,0,183,547,80,11,0,0,35.02,2695,5,0,0,0,0,0
banksbi01,0.5534,3,0,0,0,0,0,1,14,0,5,0,0,0,0,10.57,49,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10.57,49,0,0,0,0,0,0
bannoji01,0.5418,460,19,253,293,76,24,152,1438,645,142,118,24,0,0,28.5,18,0,0,0,0,0,0,0,0,0,0,645,142,118,24,0,0,28.5,18,0,0,0,0,0,0
barnero01,0.6702,860,6,346,698,146,47,116,2391,1305,1662,459,206,0,0,20.25,7,0,0,0,0,0,0,0,0,0,0,1305,1662,459,206,0,0,20.25,7,0,0,0,0,0,1
barrbo01,0.3622,117,4,17,61,14,6,31,633,122,276,73,9,0,0,25.81,1460,1,0,0,0,0,0,0,0,0,0,122,276,73,9,0,0,25.81,1460,1,0,0,0,0,0
bartsch01,0.5474,13,0,6,7,1,0,11,78,10,77,7,1,0,0,4.11,226,1,0,0,0,0,0,0,0,0,0,10,77,7,1,0,0,4.11,226,1,0,0,0,0,0
bastich01,0.5019,342,11,144,241,49,26,179,1806,878,1604,225,142,0,0,3,6,0,0,0,0,0,0,0,0,0,0,878,1604,225,142,0,0,3,6,0,0,0,0,0,0
batesfr01,0.4075,16,0,5,9,1,0,12,77,18,47,11,3,0,0,11.38,276,0,0,0,0,0,0,0,0,0,0,18,47,11,3,0,0,11.38,276,0,0,0,0,0,0
batesjo01,0.4015,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,15,0,0,0,0,0,0
battijo01,0.4679,439,3,143,228,51,25,40,1953,908,1253,367,88,0,0,7.16,12,0,0,0,0,0,0,0,0,0,0,908,1253,367,88,0,0,7.16,12,0,0,0,0,0,1
baueral01,0.4870,5,0,0,3,0,0,0,23,1,8,2,0,0,0,10.65,53,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,10.65,53,0,0,0,0,0,0
