playerID,WinPercent,H_Batting,HR_Batting,RBI_Batting,R_Batting,Doubles_Batting,Triples_Batting,BB_Batting,AB_Batting,PO_Fielding,A_Fielding,E_Fielding,DP_Fielding,SB_Fielding,CS_Fielding,ERA_Pitching,H_Pitching,SV_Pitching,BAOpp_Pitching,H_Battingp,HR_Battingp,RBI_Battingp,R_Battingp,Doubles_Battingp,Triples_Battingp,BB_Battingp,AB_Battingp,PO_Fieldingp,A_Fieldingp,E_Fieldingp,DP_Fieldingp,SB_Fieldingp,CS_Fieldingp,ERA_Pitchingp,H_Pitchingp,SV_Pitchingp,BAOpp_Pitchingp,GP_AllStar,careerAwards,WSWins,class
altroni01,0.5436,97,2,27,52,9,1,29,550,181,610,31,23,0,0,75.28,1455,7,3.33,1,0,0,0,0,0,1,4,181,610,31,23,0,0,75.28,1455,7,3.33,0,0,3,0
ansonca01,0.5792,3435,97,2075,1999,582,142,984,10281,22572,1612,976,1283,38,24,18,4,1,0,16,0,1,11,2,1,6,47,22572,1612,976,1283,38,24,18,4,1,0,0,0,0,1
allisdo01,0.5319,382,2,139,236,44,10,24,1407,1328,269,237,24,0,0,1.8,11,0,0,0,0,0,0,0,0,0,0,1328,269,237,24,0,0,1.8,11,0,0,0,0,0,0
barnero01,0.6702,860,6,346,698,146,47,116,2391,1305,1662,459,206,0,0,20.25,7,0,0,0,0,0,0,0,0,0,0,1305,1662,459,206,0,0,20.25,7,0,0,0,0,0,0
battijo01,0.4679,439,3,143,228,51,25,40,1953,908,1253,367,88,0,0,7.16,12,0,0,0,0,0,0,0,0,0,0,908,1253,367,88,0,0,7.16,12,0,0,0,0,0,0
bresnro01,0.5121,1252,26,530,682,218,71,714,4481,5138,1416,241,138,614,572,9.95,68,0,0,5,0,1,3,2,0,4,16,5138,1416,241,138,614,572,9.95,68,0,0,0,0,1,1
broutda01,0.5631,2303,107,1301,1529,462,206,840,6726,16443,668,532,892,0,0,37.07,44,0,0,2,0,0,0,0,0,0,3,16443,668,532,892,0,0,37.07,44,0,0,0,0,1,1
becklja01,0.4886,2938,87,1581,1603,473,244,616,9551,23767,1319,482,1327,0,0,6.75,9,0,0,0,0,0,0,0,0,0,0,23767,1319,482,1327,0,0,6.75,9,0,0,0,0,0,1
bondto01,0.5057,471,0,174,213,53,11,22,1975,336,928,138,32,0,0,31.21,3765,0,0,0,0,0,0,0,0,0,0,336,928,138,32,0,0,31.21,3765,0,0,0,0,0,0
bradlbi01,0.5135,1471,34,552,754,275,84,290,5430,1985,3062,355,197,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1985,3062,355,197,0,0,0,4,0,0,0,0,0,0
breitte01,0.4738,291,4,126,174,27,15,150,1350,329,699,68,25,0,0,44.59,3101,3,0,0,0,0,0,0,0,0,0,329,699,68,25,0,0,44.59,3101,3,0,0,0,0,0
burkeje01,0.5337,2850,75,952,1720,320,182,1029,8426,3966,309,388,64,0,0,19.07,144,0,0,8,0,1,3,1,0,0,25,3966,309,388,64,0,0,19.07,144,0,0,0,0,0,1
carutbo01,0.5822,695,29,359,508,104,50,417,2465,788,657,153,35,0,0,27.87,2678,3,0,22,0,9,10,1,3,8,99,788,657,153,35,0,0,27.87,2678,3,0,0,0,1,0
clarkjo01,0.5968,432,24,232,254,73,26,81,1974,239,1151,178,45,0,0,39.3,4295,5,0,5,1,4,2,1,0,0,36,239,1151,178,45,0,0,39.3,4295,5,0,0,0,0,1
brownpe01,0.4518,1646,46,659,954,295,85,466,4820,2490,535,414,96,0,0,54,2,0,0,0,0,0,0,0,0,0,0,2490,535,414,96,0,0,54,2,0,0,0,0,0,0
buffich01,0.5300,543,7,255,245,67,16,91,2214,917,880,182,58,0,0,36.81,3344,3,0,0,0,0,0,0,0,0,0,917,880,182,58,0,0,36.81,3344,3,0,0,0,0,0
chesbja01,0.5447,217,5,82,85,37,13,25,1103,103,836,56,28,0,0,38.38,2647,5,0,0,0,0,0,0,0,0,0,103,836,56,28,0,0,38.38,2647,5,0,0,0,0,1
comisch01,0.6042,1529,28,883,992,207,68,197,5796,13900,570,417,749,0,0,2.25,13,0,0,44,0,10,22,4,1,2,151,13900,570,417,749,0,0,2.25,13,0,0,0,0,1,1
davisge01,0.5305,2665,73,1440,1545,453,163,874,9045,5232,6429,803,739,0,0,15.75,8,1,0,5,0,6,4,3,0,0,19,5232,6429,803,739,0,0,15.75,8,1,0,0,0,1,1
corcola01,0.5814,287,2,111,192,47,15,52,1289,232,577,102,20,0,0,36.01,2147,2,0,0,0,0,0,0,0,0,0,232,577,102,20,0,0,36.01,2147,2,0,0,0,0,0
cummica01,0.5680,227,0,107,149,29,9,16,1068,109,320,65,10,0,0,15.38,2526,0,0,0,0,0,0,0,0,0,0,109,320,65,10,0,0,15.38,2526,0,0,0,0,0,1
dailyhu01,0.3917,88,0,17,53,13,2,28,562,24,266,37,5,0,0,25.05,1394,1,0,0,0,0,0,0,0,0,0,24,266,37,5,0,0,25.05,1394,1,0,0,0,0,0
dennyje01,0.4647,1286,74,667,714,238,76,173,4946,2251,2693,609,196,0,0,9,5,0,0,4,1,2,3,0,1,0,9,2251,2693,609,196,0,0,9,5,0,0,0,0,1,0
dinnebi01,0.4703,219,1,60,99,18,5,80,1143,160,800,60,19,0,0,41.25,2957,7,0,2,0,0,1,0,0,2,11,160,800,60,19,0,0,41.25,2957,7,0,0,0,1,0
donlimi01,0.5652,1282,51,543,669,176,97,312,3854,2416,165,176,60,0,0,7.63,16,0,0,5,0,1,4,1,0,2,19,2416,165,176,60,0,0,7.63,16,0,0,0,0,1,0
donovbi01,0.5261,251,7,95,142,30,11,77,1302,385,684,65,29,0,0,50.89,2631,8,1.13,0,0,0,0,0,0,1,16,385,684,65,29,0,0,50.89,2631,8,1.13,0,0,0,0
dunlafr01,0.4903,1159,41,366,759,224,53,283,3974,2912,3171,499,513,0,0,18,6,1,0,6,0,1,5,0,1,0,40,2912,3171,499,513,0,0,18,6,1,0,0,0,1,0
ewingbu01,0.5608,1625,71,883,1129,250,178,392,5363,6355,1782,572,282,239,146,25.25,55,1,0,18,1,13,10,4,2,3,62,6355,1782,572,282,239,146,25.25,55,1,0,0,0,2,1
dunnja01,0.5443,397,1,164,197,54,10,83,1622,574,910,150,72,0,0,55.32,1217,3,0,0,0,0,0,0,0,0,0,574,910,150,72,0,0,55.32,1217,3,0,0,0,0,0
emslibo01,0.4421,66,0,4,42,8,6,8,355,51,157,45,1,0,0,16.49,775,0,0,0,0,0,0,0,0,0,0,51,157,45,1,0,0,16.49,775,0,0,0,0,0,0
freembu01,0.4652,1235,82,713,588,199,131,272,4208,3624,229,139,114,0,0,11.6,50,0,0,9,0,4,6,0,3,2,32,3624,229,139,114,0,0,11.6,50,0,0,0,0,1,0
frasech01,0.4901,235,3,96,134,34,13,81,1319,374,950,98,31,0,0,51.78,3462,6,0,0,0,0,0,0,0,0,0,374,950,98,31,0,0,51.78,3462,6,0,0,0,2,0
galvipu01,0.4805,552,5,220,278,87,31,38,2748,378,1419,181,44,0,0,50.01,6405,2,0,0,0,0,0,0,0,0,0,378,1419,181,44,0,0,50.01,6405,2,0,0,0,0,1
glassja01,0.4314,2041,27,827,1164,313,98,440,7033,3165,5951,895,656,0,0,59.4,12,0,0,0,0,0,0,0,0,0,0,3165,5951,895,656,0,0,59.4,12,0,0,0,0,0,0
gleaski01,0.4953,1946,15,824,1022,216,81,501,7459,4237,5324,672,609,0,0,39.97,2552,6,0,0,0,0,0,0,0,0,0,4237,5324,672,609,0,0,39.97,2552,6,0,0,0,0,0
griffcl01,0.5384,321,8,166,202,49,17,166,1380,201,879,78,23,0,0,69.58,3670,8,1.5,0,0,0,0,0,0,0,0,201,879,78,23,0,0,69.58,3670,8,1.5,0,0,0,1
hahnno01,0.5137,129,2,52,65,18,10,53,731,109,447,55,16,0,0,21.68,1916,0,0,0,0,0,0,0,0,0,0,109,447,55,16,0,0,21.68,1916,0,0,0,0,0,0
keefeti01,0.5790,390,12,134,248,60,38,175,2083,297,1079,174,31,0,0,42.9,4438,2,0,4,0,0,3,1,0,3,20,297,1079,174,31,0,0,42.9,4438,2,0,0,0,2,1
kellyki01,0.6204,1813,69,950,1357,359,102,549,5896,3573,1749,851,145,308,258,23.18,63,0,0,14,1,1,13,3,1,4,58,3573,1749,851,145,308,258,23.18,63,0,0,0,0,0,1
kennebr01,0.5309,334,1,148,151,51,21,43,1279,123,769,57,29,0,0,46.42,3282,9,0,1,0,0,0,1,0,0,2,123,769,57,29,0,0,46.42,3282,9,0,0,0,0,0
kilroma01,0.4573,236,1,103,163,24,17,118,1062,184,610,97,13,0,0,40.16,2445,1,0,0,0,0,0,0,0,0,0,184,610,97,13,0,0,40.16,2445,1,0,0,0,0,0
leevesa01,0.6085,183,2,78,90,17,14,49,993,84,659,34,11,0,0,32.19,2449,13,0,0,0,0,0,0,0,0,4,84,659,34,11,0,0,32.19,2449,13,0,0,0,1,0
lowebo01,0.5754,1934,71,989,1135,230,85,474,7078,4226,4756,508,571,0,0,9,3,0,0,3,0,0,2,0,0,1,23,4226,4756,508,571,0,0,9,3,0,0,0,0,0,0
lynchto02,0.5536,0,0,0,0,0,0,0,4,2,1,0,0,0,0,2.57,7,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2.57,7,0,0,0,0,0,0
mathech01,0.5638,362,7,165,151,50,12,116,1687,313,1506,57,44,0,0,47.69,4219,29,1.89,9,0,1,2,0,0,3,32,313,1506,57,44,0,0,47.69,4219,29,1.89,0,0,1,1
mcaleji01,0.5254,1008,11,469,620,114,40,365,3981,2469,155,155,36,0,0,0,2,0,0,4,0,1,0,0,0,2,22,2469,155,155,36,0,0,0,2,0,0,0,0,0,0
mccarto01,0.5945,1493,44,732,1066,191,53,536,5120,2190,486,342,83,0,0,30.58,85,0,0,18,1,11,12,3,0,6,62,2190,486,342,83,0,0,30.58,85,0,0,0,0,0,1
mccorji01,0.5272,491,4,178,246,66,22,22,2082,384,938,122,33,0,0,29,4092,1,0,3,0,0,1,0,0,0,20,384,938,122,33,0,0,29,4092,1,0,0,0,0,0
mcginjo01,0.5674,251,0,90,109,21,10,34,1297,218,930,101,25,0,0,29.27,3276,24,0,0,0,0,0,0,0,0,5,218,930,101,25,0,0,29.27,3276,24,0,0,0,1,1
mcguide01,0.4700,1750,45,840,770,300,79,515,6291,7743,1925,621,193,2541,1458,6.75,10,0,0,0,0,0,0,0,0,0,0,7743,1925,621,193,2541,1458,6.75,10,0,0,0,0,0,0
mcgunbi01,0.4677,35,0,6,24,0,1,5,202,70,39,11,2,0,0,6.04,156,0,0,0,0,0,0,0,0,0,0,70,39,11,2,0,0,6.04,156,0,0,0,0,0,0
mcveyca01,0.6837,869,11,449,555,133,44,30,2513,2690,351,320,98,0,0,19.29,235,5,0,0,0,0,0,0,0,0,0,2690,351,320,98,0,0,19.29,235,5,0,0,0,0,0
mullato01,0.5379,661,8,223,407,99,38,221,2720,916,1228,230,75,0,0,55.14,4195,15,0,0,0,0,0,0,0,0,0,916,1228,230,75,0,0,55.14,4195,15,0,0,0,0,0
nichoki01,0.5697,472,16,278,273,58,24,137,2090,384,1034,79,37,0,0,55.53,4929,16,0,2,0,2,1,0,0,0,7,384,1034,79,37,0,0,55.53,4929,16,0,0,0,0,1
odayha01,0.4342,155,1,46,76,19,3,39,817,130,359,50,14,0,0,29.15,1655,4,0,1,0,0,0,0,0,2,6,130,359,50,14,0,0,29.15,1655,4,0,0,0,1,1
oneilti01,0.6271,1385,52,757,879,222,92,420,4248,1810,135,177,16,0,0,6.75,307,0,0,35,5,25,23,3,3,10,146,1810,135,177,16,0,0,6.75,307,0,0,0,0,1,0
orourji01,0.5964,2639,62,1208,1729,468,149,513,8503,5494,951,700,176,53,46,9.27,17,2,0,22,2,8,11,2,2,6,72,5494,951,700,176,53,46,9.27,17,2,0,0,0,2,1
paborch01,0.2795,204,0,80,101,13,12,8,715,338,30,98,4,0,0,19.75,81,0,0,0,0,0,0,0,0,0,0,338,30,98,4,0,0,19.75,81,0,0,0,0,0,0
peitzhe01,0.4938,1117,16,560,532,191,66,410,4124,4696,1485,260,199,1215,928,22.28,22,0,0,0,0,0,0,0,0,0,0,4696,1485,260,199,1215,928,22.28,22,0,0,0,0,0,0
pfefffr01,0.5113,1680,94,1021,1096,231,120,527,6560,5062,5530,980,952,0,0,15.93,41,2,0,17,2,4,12,2,0,2,48,5062,5530,980,952,0,0,15.93,41,2,0,0,0,0,0
phillde01,0.6119,185,3,90,96,23,6,49,980,97,624,34,17,0,0,46.58,2518,12,0.23,4,0,1,1,0,0,0,19,97,624,34,17,0,0,46.58,2518,12,0.23,0,0,1,0
